,R2_Score,MSE,RSE,Model
PC1,0.9387685344629115,0.06123146553708837,0.2501516919231897,LinearRegression()
PC2,0.9645964577143957,0.035403542285604286,0.1902126850904538,LinearRegression()
PC3,0.7477973822289676,0.2522026177710325,0.507681002792447,LinearRegression()
PC4,0.6757375828941994,0.32426241710580084,0.5756578421370738,LinearRegression()
PC5,0.2171905020868049,0.7828094979131957,0.8944254759336376,LinearRegression()
PC6,0.5213621318257429,0.47863786817425735,0.6993903654211656,LinearRegression()
PC7,0.30097562840577363,0.6990243715942267,0.8452054259695163,LinearRegression()
PC8,0.18017747321965372,0.8198225267803454,0.9153265112399598,LinearRegression()
PC9,0.26690882886492084,0.7330911711350789,0.8655558822350972,LinearRegression()
PC10,0.1342528469076094,0.8657471530923914,0.9406144659845339,LinearRegression()
iT,1.0,6.823153792095989e-28,2.6406369602795277e-14,LinearRegression()
